allele,anchor,n_raw,n_phase1,n_phase2,kl_raw,kl_phase1,kl_phase2,kl_reduction_pct
HLAB35432,anchor1_P2,11,11,6,1.228,1.228,1.2039,1.96
SLA10701,anchor1_P2,14,14,6,1.1862,1.1862,1.2039,-1.5
MAMUB08701,anchor1_P2,71,71,23,1.1823,1.1823,1.1419,3.42
HLAB2720,anchor1_P2,86,86,37,1.0518,1.0518,1.1167,-6.16
MAMUA700103,anchor1_P2,21,21,10,1.1529,1.1529,1.109,3.8
MAMUA1026010101,anchor1_P2,52,52,28,1.0751,1.0751,1.0664,0.8
DLA8850801,anchor1_P2,49,49,26,1.0748,1.0748,1.0367,3.54
HLAA3305,anchor1_P2,24,24,15,0.9333,0.9333,1.0044,-7.61
HLAB1520,anchor1_P2,45,45,16,0.9335,0.9335,0.949,-1.65
HLAB39090101,anchor1_P2,80,80,17,0.4578,0.4578,0.8764,-91.43
HLAB15396,anchor1_P2,32,32,18,0.8787,0.8787,0.8566,2.51
HLAG01040101,anchor1_P2,296,296,24,0.5793,0.5793,0.8538,-47.37
HLAB1542,anchor1_P2,109,109,48,0.799,0.799,0.7613,4.72
SLA11301,anchor1_P2,39,39,31,0.7933,0.7933,0.7576,4.5
HLAA11030102,anchor1_P2,150,150,70,0.6454,0.6454,0.6261,2.99
HLAB1403,anchor1_P2,75,75,22,0.5274,0.5274,0.6062,-14.93
HLAA3301,anchor1_P2,3890,1000,42,0.4511,0.4578,0.5082,-11.01
HLAA3303,anchor1_P2,12072,1000,56,0.427,0.4246,0.4745,-11.77
HLAA3101,anchor1_P2,12539,1000,37,0.4093,0.4086,0.4709,-15.24
HLAA29010101,anchor1_P2,841,841,79,0.4119,0.4119,0.4189,-1.7
HLAA29100,anchor1_P2,3107,1000,66,0.3527,0.3459,0.3928,-13.56
HLAA0106,anchor2_last,6,6,5,2.9957,2.9957,2.9957,0.0
HLAB3908,anchor2_last,5,5,4,2.9957,2.9957,2.9957,0.0
HLAB40120,anchor2_last,4,4,4,2.9957,2.9957,2.9957,0.0
HLAE0103,anchor2_last,5,5,4,2.9957,2.9957,2.9957,0.0
BOLA204601,anchor2_last,3,3,2,2.9956,2.9956,2.9956,0.0
BOLA601401,anchor2_last,2,2,2,2.9956,2.9956,2.9956,0.0
